0,1,2,3,4,5,6,7,8,9,10,11,12
2.54E+07,-3.651,39.850,54.903,-30.000,-30.000,54.139,9.9,9.8,-30.000,-30.000
2.55E+07,-3.652,39.849,54.904,-30.000,-30.000,54.139,9.8,9.8,-30.000,-30.000
2.56E+07,-3.653,39.848,54.905,-30.000,-30.000,54.139,9.8,9.8,-30.000,-30.000
2.57E+07,-3.654,39.847,54.906,-30.000,-30.000,54.139,9.8,9.8,-30.000,-30.000
2.58E+07,-3.655,39.846,54.908,-30.000,-30.000,54.139,9.8,9.8,-30.000,-30.000
2.59E+07,-3.656,39.845,54.909,-30.000,-30.000,54.139,9.8,9.7,-30.000,-30.000
2.6E+07,-3.657,39.844,54.910,-30.000,-30.000,54.139,9.7,9.7,-30.000,-30.000
2.61E+07,-3.658,39.843,54.911,-30.000,-30.000,54.139,9.7,9.7,-30.000,-30.000
2.62E+07,-3.659,39.842,54.912,-30.000,-30.000,54.139,9.7,9.7,-30.000,-30.000
2.63E+07,-3.660,39.841,54.913,-30.000,-30.000,54.139,9.7,9.7,-30.000,-30.000
2.64E+07,-3.661,39.839,54.915,-30.000,-30.000,54.139,9.7,9.7,-30.000,-30.000
2.65E+07,-3.662,39.839,54.916,-30.000,-30.000,54.139,9.6,9.6,-30.000,-30.000
2.66E+07,-3.663,39.838,54.917,-30.000,-30.000,54.139,9.6,9.6,-30.000,-30.000
2.67E+07,-3.665,39.836,54.918,-30.000,-30.000,54.139,9.6,9.6,-30.000,-30.000
2.68E+07,-3.665,39.836,54.919,-30.000,-30.000,54.139,9.6,9.6,-30.000,-30.000
2.69E+07,-3.667,39.834,54.920,-30.000,-30.000,54.139,9.6,9.6,-30.000,-30.000
2.7E+07,-3.667,39.833,54.921,-30.000,-30.000,54.139,9.6,9.5,-30.000,-30.000
2.71E+07,-3.669,39.832,54.923,-30.000,-30.000,54.139,9.5,9.5,-30.000,-30.000
2.72E+07,-3.669,39.831,54.924,-30.000,-30.000,54.139,9.5,9.5,-30.000,-30.000
2.73E+07,-3.671,39.830,54.925,-30.000,-30.000,54.139,9.5,9.5,-30.000,-30.000
2.74E+07,-3.671,39.829,54.926,-30.000,-30.000,54.139,9.5,9.5,-30.000,-30.000
2.75E+07,-3.673,39.828,54.927,-30.000,-30.000,54.139,9.5,9.5,-30.000,-30.000
2.76E+07,-3.674,39.827,54.928,-30.000,-30.000,54.139,9.4,9.4,-30.000,-30.000
2.77E+07,-3.674,39.827,54.929,-30.000,-30.000,54.139,9.4,9.4,-30.000,-30.000
2.78E+07,-3.676,39.825,54.930,-30.000,-30.000,54.139,9.4,9.4,-30.000,-30.000
2.79E+07,-3.677,39.824,54.931,-30.000,-30.000,54.139,9.4,9.4,-30.000,-30.000
2.8E+07,-3.677,39.823,54.932,-30.000,-30.000,54.139,9.4,9.4,-30.000,-30.000
